Time ,Voltage
1,-0.01
2,-0.01
3,-0.01
4,-0.01
5,-0.01
6,-0.01
7,-0.01
8,-0.01
9,-0.01
10,-0.01
11,-0.01
12,-0.01
13,-0.01
14,-0.01
15,-0.01
16,-0.01
17,-0.02
18,-0.01
19,-0.01
20,-0.01
21,-0.01
22,-0.01
23,-0.01
24,-0.01
25,-0.01
26,-0.01
27,-0.01
28,-0.01
29,-0.01
30,-0.01
31,-0.01
32,0
33,0
34,0
35,0
36,-0.01
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0.01
74,0.01
75,0.01
76,0.01
77,0.01
78,0.01
79,0.01
80,0.01
81,0.01
82,0.01
83,0.01
84,0.01
85,0.01
86,0.01
87,0.01
88,0.01
89,0.02
90,0.02
91,0.02
92,0.02
93,0.02
94,0.02
95,0.02
96,0.02
97,0.02
98,0.02
99,0.02
100,0.02
101,0.02
102,0.02
103,0.02
104,0.02
105,0.02
106,0.03
107,0.02
108,0.02
109,0.02
110,0.02
111,0.02
112,0.02
113,0.02
114,0.03
115,0.02
116,0.02
117,0.02
118,0.03
119,0.03
120,0.02
121,0.02
122,0.03
123,0.03
124,0.03
125,0.03
126,0.03
127,0.03
128,0.03
129,0.03
130,0.04
131,0.04
132,0.04
133,0.03
134,0.03
135,0.03
136,0.03
137,0.03
138,0.04
139,0.04
140,0.04
141,0.04
142,0.04
143,0.04
144,0.04
145,0.04
146,0.04
147,0.04
148,0.04
149,0.04
150,0.04
151,0.04
152,0.04
153,0.04
154,0.04
155,0.04
156,0.04
157,0.04
158,0.04
159,0.04
160,0.04
161,0.04
162,0.04
163,0.04
164,0.04
165,0.04
166,0.05
167,0.04
168,0.04
169,0.04
170,0.04
171,0.04
172,0.05
173,0.04
174,0.04
175,0.04
176,0.05
177,0.05
178,0.05
179,0.05
180,0.05
181,0.05
182,0.05
183,0.05
184,0.05
185,0.05
186,0.05
187,0.05
188,0.05
189,0.05
190,0.05
191,0.05
192,0.05
193,0.05
194,0.05
195,0.05
196,0.06
197,0.05
198,0.05
199,0.06
200,0.06
201,0.05
202,0.05
203,0.05
204,0.05
205,0.06
206,0.06
207,0.06
208,0.05
209,0.06
210,0.06
211,0.06
212,0.06
213,0.06
214,0.06
215,0.06
216,0.06
217,0.06
218,0.06
219,0.06
220,0.06
221,0.06
222,0.06
223,0.06
224,0.06
225,0.06
226,0.06
227,0.06
228,0.06
229,0.06
230,0.06
231,0.06
232,0.06
233,0.06
234,0.06
235,0.06
236,0.06
237,0.06
238,0.06
239,0.06
240,0.06
241,0.06
242,0.06
243,0.06
244,0.06
245,0.06
246,0.06
247,0.06
248,0.06
249,0.06
250,0.06
251,0.06
252,0.06
253,0.06
254,0.06
255,0.06
256,0.06
257,0.06
258,0.07
259,0.06
260,0.06
261,0.06
262,0.06
263,0.06
264,0.06
265,0.06
266,0.07
