Time ,Voltage
1,-0.02
2,-0.01
3,-0.01
4,-0.02
5,-0.02
6,-0.01
7,-0.01
8,-0.01
9,-0.01
10,-0.02
11,-0.02
12,-0.02
13,-0.02
14,-0.01
15,-0.02
16,-0.01
17,-0.02
18,-0.02
19,-0.01
20,-0.01
21,0.01
22,0.04
23,0.05
24,0.05
25,0.06
26,0.06
27,0.06
28,0.07
29,0.07
30,0.07
31,0.08
32,0.08
33,0.08
34,0.08
35,0.08
36,0.09
37,0.09
38,0.09
39,0.09
40,0.09
41,0.1
42,0.1
43,0.1
44,0.1
45,0.1
46,0.1
47,0.11
48,0.11
49,0.11
50,0.11
51,0.11
52,0.11
53,0.11
54,0.12
55,0.12
56,0.12
57,0.12
58,0.12
59,0.12
60,0.13
61,0.13
62,0.13
63,0.13
64,0.13
65,0.13
66,0.13
67,0.14
68,0.14
69,0.14
70,0.14
71,0.15
72,0.15
73,0.15
74,0.15
75,0.15
76,0.15
77,0.15
78,0.15
79,0.16
80,0.16
81,0.16
82,0.16
83,0.16
84,0.16
85,0.17
86,0.17
87,0.17
88,0.17
89,0.18
90,0.18
91,0.18
92,0.18
93,0.18
94,0.18
95,0.18
96,0.18
97,0.18
98,0.18
99,0.19
100,0.19
101,0.19
102,0.19
103,0.19
104,0.2
105,0.2
106,0.2
107,0.2
108,0.2
109,0.2
110,0.2
111,0.2
112,0.21
113,0.21
114,0.21
115,0.21
116,0.21
117,0.22
118,0.22
119,0.22
120,0.22
121,0.22
122,0.22
123,0.22
124,0.23
125,0.23
126,0.23
127,0.23
128,0.24
129,0.23
130,0.23
131,0.24
132,0.24
133,0.24
134,0.24
135,0.24
136,0.24
137,0.24
138,0.25
139,0.25
140,0.25
141,0.25
142,0.25
143,0.25
144,0.25
145,0.26
146,0.26
147,0.26
148,0.26
149,0.27
150,0.27
151,0.27
152,0.27
153,0.27
154,0.27
155,0.27
156,0.28
157,0.28
158,0.28
159,0.28
160,0.28
161,0.29
162,0.29
163,0.29
164,0.29
165,0.29
166,0.29
167,0.29
168,0.29
169,0.3
170,0.3
171,0.3
172,0.3
173,0.3
174,0.3
175,0.3
176,0.31
177,0.31
178,0.31
179,0.31
180,0.31
181,0.31
182,0.31
183,0.32
184,0.32
185,0.32
186,0.32
187,0.32
188,0.32
189,0.33
190,0.33
191,0.33
192,0.33
193,0.33
194,0.33
195,0.33
196,0.33
197,0.34
198,0.34
199,0.34
200,0.34
201,0.34
202,0.35
203,0.35
204,0.35
205,0.35
206,0.35
207,0.35
208,0.36
209,0.36
210,0.36
211,0.36
212,0.36
213,0.36
214,0.36
215,0.36
216,0.37
217,0.37
218,0.37
219,0.37
220,0.37
221,0.37
222,0.38
223,0.38
224,0.38
225,0.38
226,0.38
227,0.38
228,0.38
229,0.38
230,0.39
231,0.39
232,0.39
233,0.39
234,0.39
235,0.4
236,0.4
237,0.4
238,0.4
239,0.4
240,0.4
241,0.4
242,0.4
243,0.41
244,0.41
245,0.41
246,0.41
247,0.41
248,0.41
249,0.41
250,0.42
251,0.42
252,0.42
253,0.42
