Time ,Voltage
1,-0.02
2,-0.01
3,-0.01
4,-0.01
5,-0.01
6,-0.02
7,-0.02
8,-0.02
9,-0.01
10,-0.02
11,-0.01
12,-0.02
13,-0.02
14,-0.01
15,-0.02
16,-0.02
17,-0.01
18,-0.01
19,-0.01
20,-0.02
21,-0.01
22,-0.01
23,0
24,0
25,0
26,0
27,0
28,0
29,0.01
30,0.01
31,0.01
32,0.01
33,0.01
34,0.01
35,0.02
36,0.02
37,0.02
38,0.02
39,0.02
40,0.02
41,0.03
42,0.03
43,0.03
44,0.03
45,0.03
46,0.03
47,0.04
48,0.04
49,0.04
50,0.04
51,0.04
52,0.04
53,0.04
54,0.04
55,0.04
56,0.05
57,0.05
58,0.05
59,0.05
60,0.05
61,0.05
62,0.06
63,0.05
64,0.06
65,0.06
66,0.06
67,0.06
68,0.06
69,0.06
70,0.07
71,0.06
72,0.06
73,0.07
74,0.07
75,0.07
76,0.07
77,0.07
78,0.07
79,0.07
80,0.08
81,0.08
82,0.08
83,0.08
84,0.08
85,0.08
86,0.08
87,0.08
88,0.09
89,0.09
90,0.09
91,0.09
92,0.09
93,0.09
94,0.09
95,0.09
96,0.09
97,0.09
98,0.09
99,0.1
100,0.1
101,0.1
102,0.1
103,0.1
104,0.1
105,0.1
106,0.1
107,0.11
108,0.11
109,0.11
110,0.11
111,0.11
112,0.11
113,0.11
114,0.11
115,0.11
116,0.11
117,0.11
118,0.11
119,0.11
120,0.12
121,0.12
122,0.12
123,0.12
124,0.12
125,0.13
126,0.13
127,0.13
128,0.13
129,0.13
130,0.13
131,0.13
132,0.13
133,0.13
134,0.13
135,0.13
136,0.13
137,0.13
138,0.13
139,0.14
140,0.14
141,0.14
142,0.14
143,0.14
144,0.14
145,0.14
146,0.15
147,0.15
148,0.15
149,0.15
150,0.15
151,0.15
152,0.15
153,0.15
154,0.15
155,0.15
156,0.15
157,0.15
158,0.16
159,0.16
160,0.16
161,0.16
162,0.15
163,0.16
164,0.16
165,0.16
166,0.16
167,0.16
168,0.16
169,0.16
170,0.17
171,0.17
172,0.17
173,0.17
174,0.17
175,0.17
176,0.17
177,0.17
178,0.17
179,0.17
180,0.18
181,0.18
182,0.18
183,0.18
