Time ,Voltage
1,-0.01
2,-0.01
3,-0.01
4,-0.01
5,-0.01
6,-0.01
7,-0.01
8,-0.01
9,-0.01
10,-0.01
11,-0.01
12,-0.01
13,-0.01
14,-0.02
15,-0.01
16,-0.01
17,-0.01
18,-0.01
19,0.01
20,0.01
21,0.02
22,0.02
23,0.02
24,0.02
25,0.03
26,0.03
27,0.04
28,0.04
29,0.04
30,0.04
31,0.04
32,0.04
33,0.04
34,0.05
35,0.05
36,0.05
37,0.05
38,0.06
39,0.06
40,0.06
41,0.06
42,0.06
43,0.06
44,0.07
45,0.07
46,0.07
47,0.07
48,0.07
49,0.07
50,0.08
51,0.08
52,0.08
53,0.08
54,0.08
55,0.09
56,0.09
57,0.09
58,0.09
59,0.09
60,0.09
61,0.09
62,0.09
63,0.09
64,0.1
65,0.1
66,0.1
67,0.1
68,0.1
69,0.11
70,0.1
71,0.11
72,0.11
73,0.11
74,0.11
75,0.11
76,0.11
77,0.12
78,0.11
79,0.12
80,0.12
81,0.12
82,0.13
83,0.12
84,0.13
85,0.13
86,0.13
87,0.13
88,0.13
89,0.13
90,0.13
91,0.13
92,0.13
93,0.13
94,0.13
95,0.14
96,0.14
97,0.14
98,0.14
99,0.14
100,0.15
101,0.15
102,0.15
103,0.15
104,0.15
105,0.15
106,0.15
107,0.15
108,0.16
109,0.16
110,0.16
111,0.16
112,0.16
113,0.16
114,0.16
115,0.17
116,0.17
117,0.17
118,0.17
119,0.17
120,0.17
121,0.18
122,0.18
123,0.18
124,0.18
125,0.18
126,0.18
127,0.18
128,0.18
129,0.18
130,0.18
131,0.19
132,0.19
133,0.19
134,0.19
135,0.19
136,0.19
137,0.2
138,0.2
139,0.2
140,0.2
141,0.2
142,0.2
143,0.2
144,0.2
145,0.21
146,0.21
147,0.21
148,0.2
149,0.21
150,0.21
151,0.21
152,0.21
153,0.21
154,0.21
155,0.22
156,0.22
157,0.22
158,0.22
159,0.22
160,0.22
161,0.22
162,0.22
163,0.22
164,0.23
165,0.23
166,0.23
167,0.23
168,0.23
169,0.23
170,0.24
171,0.24
172,0.24
173,0.24
174,0.24
175,0.24
176,0.24
177,0.24
178,0.24
179,0.24
180,0.24
181,0.25
182,0.24
183,0.25
184,0.25
185,0.25
186,0.25
187,0.25
188,0.25
189,0.25
190,0.26
191,0.26
192,0.26
193,0.26
194,0.26
195,0.26
196,0.27
197,0.27
198,0.27
199,0.27
