Time ,Voltage
1,-0.01
2,-0.01
3,-0.02
4,-0.02
5,-0.02
6,-0.02
7,-0.01
8,-0.01
9,-0.01
10,-0.02
11,-0.02
12,-0.02
13,-0.02
14,-0.01
15,-0.01
16,-0.02
17,0.01
18,0.05
19,0.08
20,0.08
21,0.09
22,0.09
23,0.09
24,0.09
25,0.1
26,0.1
27,0.1
28,0.11
29,0.11
30,0.11
31,0.11
32,0.11
33,0.11
34,0.12
35,0.12
36,0.12
37,0.13
38,0.13
39,0.13
40,0.13
41,0.13
42,0.13
43,0.14
44,0.14
45,0.14
46,0.14
47,0.14
48,0.15
49,0.15
50,0.15
51,0.15
52,0.15
53,0.15
54,0.16
55,0.16
56,0.16
57,0.16
58,0.17
59,0.17
60,0.17
61,0.18
62,0.18
63,0.18
64,0.18
65,0.18
66,0.18
67,0.19
68,0.19
69,0.19
70,0.19
71,0.19
72,0.2
73,0.2
74,0.2
75,0.2
76,0.2
77,0.2
78,0.21
79,0.21
80,0.21
81,0.22
82,0.22
83,0.22
84,0.22
85,0.22
86,0.23
87,0.23
88,0.23
89,0.23
90,0.23
91,0.24
92,0.24
93,0.24
94,0.24
95,0.24
96,0.25
97,0.25
98,0.25
99,0.25
100,0.25
101,0.26
102,0.26
103,0.26
104,0.26
105,0.27
106,0.27
107,0.27
108,0.27
109,0.27
110,0.28
111,0.28
112,0.28
113,0.28
114,0.28
115,0.29
116,0.29
117,0.29
118,0.29
119,0.3
120,0.3
121,0.3
122,0.3
123,0.31
124,0.31
125,0.31
126,0.31
127,0.31
128,0.31
129,0.31
130,0.32
131,0.32
132,0.32
133,0.33
134,0.33
135,0.33
136,0.33
137,0.33
138,0.33
139,0.34
140,0.34
141,0.34
142,0.34
143,0.35
144,0.35
145,0.35
146,0.35
147,0.36
148,0.36
149,0.36
150,0.36
151,0.36
152,0.36
153,0.36
154,0.37
155,0.37
156,0.37
